match_date,team1,team2,winner,margin,ground,scorecard,team1_mahadasha_lord,team1_mahadasha_lord_dignity,team1_mahadasha_lord_score,team1_antardasha_lord,team1_antardasha_lord_dignity,team1_antardasha_lord_score,team1_agreement_classification,team1_moon_rashi,team1_moon_nakshatra,team2_mahadasha_lord,team2_mahadasha_lord_dignity,team2_mahadasha_lord_score,team2_antardasha_lord,team2_antardasha_lord_dignity,team2_antardasha_lord_score,team2_agreement_classification,team2_moon_rashi,team2_moon_nakshatra
2017-05-24,England,South Africa,England,72 runs,Leeds,ODI # 3872,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-05-27,England,South Africa,England,2 runs,Southampton,ODI # 3873,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-05-29,England,South Africa,South Africa,7 wickets,Lord's,ODI # 3874,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-06-01,England,Bangladesh,England,8 wickets,The Oval,ODI # 3875,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada
2017-06-02,Australia,New Zealand,no result,-,Birmingham,ODI # 3876,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani
2017-06-03,South Africa,Sri Lanka,South Africa,96 runs,The Oval,ODI # 3877,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha
2017-06-04,India,Pakistan,India,124 runs,Birmingham,ODI # 3878,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra
2017-06-05,Australia,Bangladesh,no result,-,The Oval,ODI # 3879,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada
2017-06-06,England,New Zealand,England,87 runs,Cardiff,ODI # 3880,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani
2017-06-07,Pakistan,South Africa,Pakistan,19 runs,Birmingham,ODI # 3881,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-06-08,India,Sri Lanka,Sri Lanka,7 wickets,The Oval,ODI # 3882,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha
2017-06-09,Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,ODI # 3883,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada,venus,DEBILITATED,-0.5,moon,NEUTRAL,-0.5,Contradictory,Mesha,Bharani
2017-06-10,England,Australia,England,40 runs,Birmingham,ODI # 3885,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-06-11,India,South Africa,India,8 wickets,The Oval,ODI # 3886,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta
2017-06-12,Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,ODI # 3888,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha
2017-06-14,England,Pakistan,Pakistan,8 wickets,Cardiff,ODI # 3889,rahu,N/A,0.5,jupiter,EXALTED,2.5,Strong,Mithuna,Punarvasu,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra
2017-06-15,Bangladesh,India,India,9 wickets,Birmingham,ODI # 3891,ketu,N/A,0.5,venus,NEUTRAL,1.5,Strong,Kumbha,Purva Bhadrapada,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya
2017-06-18,India,Pakistan,Pakistan,180 runs,The Oval,ODI # 3894,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra
2017-06-30,Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,ODI # 3897,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini
2017-07-02,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,ODI # 3899,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini
2017-07-06,Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,ODI # 3901,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini
2017-07-08,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,ODI # 3903,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini
2017-07-10,Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,ODI # 3904,mars,NEUTRAL,-0.5,rahu,N/A,0.5,Tradition-specific,Vrischika,Anuradha,jupiter,NEUTRAL,-0.5,saturn,NEUTRAL,-1.5,Strong,Vrishabha,Rohini
2017-08-20,Sri Lanka,India,India,9 wickets,Dambulla,ODI # 3905,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya
2017-08-24,Sri Lanka,India,India,3 wickets,Pallekele,ODI # 3906,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya
2017-08-27,Sri Lanka,India,India,6 wickets,Pallekele,ODI # 3907,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya
2017-08-31,Sri Lanka,India,India,168 runs,Colombo (RPS),ODI # 3908,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya
2017-09-03,Sri Lanka,India,India,6 wickets,Colombo (RPS),ODI # 3909,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya
2017-09-17,India,Australia,India,26 runs,Chennai,ODI # 3910,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-09-21,India,Australia,India,50 runs,Eden Gardens,ODI # 3912,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-09-24,India,Australia,India,5 wickets,Indore,ODI # 3914,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-09-28,India,Australia,Australia,21 runs,Bengaluru,ODI # 3917,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-10-01,India,Australia,India,7 wickets,Nagpur,ODI # 3919,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,NEUTRAL,0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-10-13,Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),ODI # 3922,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha
2017-10-15,South Africa,Bangladesh,South Africa,10 wickets,Kimberley,ODI # 3923,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta,ketu,N/A,0.5,sun,NEUTRAL,0.5,Contradictory,Kumbha,Purva Bhadrapada
2017-10-16,Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,ODI # 3924,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha
2017-10-18,South Africa,Bangladesh,South Africa,104 runs,Paarl,ODI # 3925,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta,ketu,N/A,0.5,sun,NEUTRAL,0.5,Contradictory,Kumbha,Purva Bhadrapada
2017-10-18,Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,ODI # 3926,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha
2017-10-20,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,ODI # 3927,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha
2017-10-22,India,New Zealand,New Zealand,6 wickets,Wankhede,ODI # 3928,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,DEBILITATED,-0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-10-22,South Africa,Bangladesh,South Africa,200 runs,East London,ODI # 3929,moon,NEUTRAL,1.5,rahu,N/A,0.5,Tradition-specific,Kumbha,Dhanishta,ketu,N/A,0.5,sun,NEUTRAL,0.5,Contradictory,Kumbha,Purva Bhadrapada
2017-10-23,Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,ODI # 3930,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha
2017-10-25,India,New Zealand,India,6 wickets,Pune,ODI # 3931,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,DEBILITATED,-0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-10-29,India,New Zealand,India,6 runs,Kanpur,ODI # 3932,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,venus,DEBILITATED,-0.5,mars,NEUTRAL,-1.5,Insufficient,Mesha,Bharani
2017-12-05,Afghanistan,Ireland,Afghanistan,138 runs,Sharjah,ODI # 3935,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,sun,NEUTRAL,0.5,moon,NEUTRAL,0.5,Strong,Mithuna,Ardra
2017-12-07,Afghanistan,Ireland,Ireland,51 runs,Sharjah,ODI # 3937,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,sun,NEUTRAL,0.5,moon,NEUTRAL,0.5,Strong,Mithuna,Ardra
2017-12-10,India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,ODI # 3939,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha
2017-12-10,Afghanistan,Ireland,Ireland,5 wickets,Sharjah,ODI # 3940,venus,DEBILITATED,-0.5,venus,DEBILITATED,-0.5,Strong,Vrishabha,Krittika,sun,NEUTRAL,0.5,moon,NEUTRAL,0.5,Strong,Mithuna,Ardra
2017-12-13,India,Sri Lanka,India,141 runs,Mohali,ODI # 3941,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha
2017-12-17,India,Sri Lanka,India,8 wickets,Visakhapatnam,ODI # 3942,moon,OWN_SIGN,1.5,rahu,N/A,0.5,Tradition-specific,Karka,Pushya,mars,NEUTRAL,-0.5,jupiter,NEUTRAL,0.5,Insufficient,Vrischika,Anuradha
2015-01-10,Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),ODI # 3573,ketu,N/A,-1.5,saturn,NEUTRAL,-0.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,mercury,NEUTRAL,1.5,Insufficient,Mithuna,Ardra
2015-01-11,New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,ODI # 3574,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-01-15,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,ODI # 3577,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-01-16,Australia,England,Australia,3 wickets,Sydney,ODI # 3578,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu
2015-01-17,New Zealand,Sri Lanka,no result,-,Auckland,ODI # 3580,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-01-17,Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),ODI # 3581,ketu,N/A,-1.5,saturn,NEUTRAL,-0.5,Strong,Vrishabha,Krittika,venus,NEUTRAL,1.5,mercury,NEUTRAL,1.5,Insufficient,Mithuna,Ardra
2015-01-18,Australia,India,Australia,4 wickets,Melbourne,ODI # 3582,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya
2015-01-20,New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,ODI # 3585,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-01-20,England,India,England,9 wickets,Brisbane,ODI # 3586,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya
2015-01-23,New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,ODI # 3588,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-01-23,Australia,England,Australia,3 wickets,Hobart,ODI # 3589,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu
2015-01-25,New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,ODI # 3590,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-01-26,Australia,India,no result,-,Sydney,ODI # 3592,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya
2015-01-29,New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,ODI # 3594,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-01-30,England,India,England,3 wickets,Perth,ODI # 3595,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya
2015-01-31,New Zealand,Pakistan,New Zealand,7 wickets,Wellington,ODI # 3596,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,venus,NEUTRAL,0.5,mars,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2015-02-01,Australia,England,Australia,112 runs,Perth,ODI # 3597,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu
2015-02-03,New Zealand,Pakistan,New Zealand,119 runs,Napier,ODI # 3598,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,venus,NEUTRAL,0.5,mars,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2015-02-14,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,ODI # 3599,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-02-14,Australia,England,Australia,111 runs,Melbourne,ODI # 3600,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu
2015-02-15,South Africa,Zimbabwe,South Africa,62 runs,Hamilton,ODI # 3601,sun,NEUTRAL,0.5,venus,NEUTRAL,0.5,Strong,Kumbha,Dhanishta,jupiter,NEUTRAL,-0.5,jupiter,NEUTRAL,-0.5,Insufficient,Vrishabha,Rohini
2015-02-15,India,Pakistan,India,76 runs,Adelaide,ODI # 3602,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya,venus,NEUTRAL,0.5,mars,NEUTRAL,-0.5,Insufficient,Mithuna,Ardra
2015-02-18,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,ODI # 3605,ketu,N/A,-1.5,saturn,NEUTRAL,-0.5,Strong,Vrishabha,Krittika,mercury,DEBILITATED,-0.5,saturn,DEBILITATED,-3.5,Strong,Kumbha,Purva Bhadrapada
2015-02-19,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,ODI # 3606,jupiter,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Vrishabha,Krittika,jupiter,NEUTRAL,-0.5,jupiter,NEUTRAL,-0.5,Insufficient,Vrishabha,Rohini
2015-02-20,New Zealand,England,New Zealand,8 wickets,Wellington,ODI # 3607,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu
2015-02-22,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,ODI # 3609,ketu,N/A,-1.5,saturn,NEUTRAL,-0.5,Strong,Vrishabha,Krittika,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-02-22,India,South Africa,India,130 runs,Melbourne,ODI # 3610,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya,sun,NEUTRAL,0.5,venus,NEUTRAL,0.5,Strong,Kumbha,Dhanishta
2015-02-25,Ireland,U.A.E.,Ireland,2 wickets,Brisbane,ODI # 3613,venus,NEUTRAL,1.5,mercury,NEUTRAL,1.5,Insufficient,Mithuna,Ardra,jupiter,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Vrishabha,Krittika
2015-02-26,Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,ODI # 3615,mercury,DEBILITATED,-0.5,saturn,DEBILITATED,-3.5,Strong,Kumbha,Purva Bhadrapada,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-02-28,New Zealand,Australia,New Zealand,1 wicket,Auckland,ODI # 3617,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani
2015-02-28,India,U.A.E.,India,9 wickets,Perth,ODI # 3618,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya,jupiter,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Vrishabha,Krittika
2015-03-01,England,Sri Lanka,Sri Lanka,9 wickets,Wellington,ODI # 3619,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-03-01,Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,ODI # 3620,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,jupiter,NEUTRAL,-0.5,jupiter,NEUTRAL,-0.5,Insufficient,Vrishabha,Rohini
2015-03-03,Ireland,South Africa,South Africa,201 runs,Canberra,ODI # 3621,venus,NEUTRAL,1.5,mercury,NEUTRAL,1.5,Insufficient,Mithuna,Ardra,sun,NEUTRAL,0.5,venus,NEUTRAL,0.5,Strong,Kumbha,Dhanishta
2015-03-04,Pakistan,U.A.E.,Pakistan,129 runs,Napier,ODI # 3622,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,jupiter,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Vrishabha,Krittika
2015-03-04,Australia,Afghanistan,Australia,275 runs,Perth,ODI # 3623,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,ketu,N/A,-1.5,saturn,NEUTRAL,-0.5,Strong,Vrishabha,Krittika
2015-03-07,Pakistan,South Africa,Pakistan,29 runs,Auckland,ODI # 3626,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra,sun,NEUTRAL,0.5,venus,NEUTRAL,0.5,Strong,Kumbha,Dhanishta
2015-03-07,Ireland,Zimbabwe,Ireland,5 runs,Hobart,ODI # 3627,venus,NEUTRAL,1.5,mercury,NEUTRAL,1.5,Insufficient,Mithuna,Ardra,jupiter,NEUTRAL,-0.5,jupiter,NEUTRAL,-0.5,Insufficient,Vrishabha,Rohini
2015-03-08,New Zealand,Afghanistan,New Zealand,6 wickets,Napier,ODI # 3628,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,ketu,N/A,-1.5,saturn,NEUTRAL,-0.5,Strong,Vrishabha,Krittika
2015-03-08,Australia,Sri Lanka,Australia,64 runs,Sydney,ODI # 3629,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-03-09,Bangladesh,England,Bangladesh,15 runs,Adelaide,ODI # 3630,mercury,DEBILITATED,-0.5,saturn,DEBILITATED,-3.5,Strong,Kumbha,Purva Bhadrapada,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu
2015-03-10,India,Ireland,India,8 wickets,Hamilton,ODI # 3631,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya,venus,NEUTRAL,1.5,mercury,NEUTRAL,1.5,Insufficient,Mithuna,Ardra
2015-03-12,South Africa,U.A.E.,South Africa,146 runs,Wellington,ODI # 3633,sun,NEUTRAL,0.5,venus,NEUTRAL,0.5,Strong,Kumbha,Dhanishta,jupiter,NEUTRAL,1.5,ketu,N/A,-1.5,Tradition-specific,Vrishabha,Krittika
2015-03-13,New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,ODI # 3634,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,mercury,DEBILITATED,-0.5,saturn,DEBILITATED,-3.5,Strong,Kumbha,Purva Bhadrapada
2015-03-13,Afghanistan,England,England,9 wickets,Sydney,ODI # 3635,ketu,N/A,-1.5,saturn,NEUTRAL,-0.5,Strong,Vrishabha,Krittika,rahu,N/A,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Punarvasu
2015-03-14,India,Zimbabwe,India,6 wickets,Auckland,ODI # 3636,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya,jupiter,NEUTRAL,-0.5,jupiter,NEUTRAL,-0.5,Insufficient,Vrishabha,Rohini
2015-03-15,Ireland,Pakistan,Pakistan,7 wickets,Adelaide,ODI # 3639,venus,NEUTRAL,1.5,mercury,NEUTRAL,1.5,Insufficient,Mithuna,Ardra,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra
2015-03-18,South Africa,Sri Lanka,South Africa,9 wickets,Sydney,ODI # 3640,sun,NEUTRAL,0.5,venus,NEUTRAL,0.5,Strong,Kumbha,Dhanishta,moon,DEBILITATED,-1.5,venus,NEUTRAL,1.5,Strong,Vrischika,Anuradha
2015-03-19,Bangladesh,India,India,109 runs,Melbourne,ODI # 3641,mercury,DEBILITATED,-0.5,saturn,DEBILITATED,-3.5,Strong,Kumbha,Purva Bhadrapada,sun,NEUTRAL,-0.5,venus,NEUTRAL,0.5,Strong,Karka,Pushya
2015-03-20,Australia,Pakistan,Australia,6 wickets,Adelaide,ODI # 3642,venus,NEUTRAL,0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,venus,NEUTRAL,0.5,rahu,N/A,0.5,Tradition-specific,Mithuna,Ardra
2015-03-24,New Zealand,South Africa,New Zealand,4 wickets,Auckland,ODI # 3644,venus,DEBILITATED,-0.5,sun,NEUTRAL,0.5,Contradictory,Mesha,Bharani,sun,NEUTRAL,0.5,venus,NEUTRAL,0.5,Strong,Kumbha,Dhanishta
